Id,GameId,Name,NativeName,Summary,Type,Description,Rules,Reference,Origin,Author,Publisher,Date,OriginPoint,EvidenceRange,SelfContained,Notes,DisableWebApp,WishlistRuleset
646,557,Aj Sakakil,,Played by Mopan and K'ekchi' farmers.,3,These rules were played by Mopan and K'ekchi' farmers in Belize. It is the fourth game played in Bul. ,"Six or more players, even number of players, played on two teams. The board consists of twenty kernels of corn, spaced evenly in a line. If there are ten to fourteen players, the board is expanded to 25 kernels. If there are more than sixteen players, it is expanded to 30. Sticks are used to play, (five per player), and are played in the spaces between corn kernels. Dice are also corn kernels, with one side marked with a black dot. Four dice are used, the value of a move determined by the number of black dots that land face up. Each player has two throws on their turn, and moves after the second throw. The throws both must be used, and can be used in any order. Each team's home is the side of the board to their left. Each team moves toward the opposite end of the track, exiting at the opposing team's home. All of the players on one team play in succession, and then the players on the other team play next. Players enter the men on their throws and move along the track. Each player may have only one piece on the board at a time. When a player reaches the opposing team's home field, the piece may be re-entered on that player's team's own home field. Reaching the home field does not require an exact throw, and if one throw brings a player home, they may use the second throw to enter it again. If a piece lands on that of an opponent, it is captured. The captured piece is placed on top of the piece that captured it, and the stack continues toward the opposing team's home space. If the player successfully carries the captured piece to the opposing team's home space, the piece is permanently captured and removed from play. If the opposing side lands on the same space as the stack, they are stacked with the opponent's piece, and the opponent begins carrying the stack to the their opposing team's side. Any pieces captured belonging to the team which brings them off the board are returned to their players. Pieces belonging to the same team may occupy the same space with no consequence for the game. When one team has no more counters left to enter, the winner is the team that captured most of the opposing team's pieces.
",Verbeeck 1998: 87-90.,,,,,,"0,5520",0,,0,0
722,615,Ahtarah Guti,,Rules for Ahtarah Guti.,1,These rules were played in the Karwi subdivision of India in the early twentieth century.,"5x5 intersecting lines, with diagonals in each quadrant. Two triangles, the apexes of which intersect with the square at the midpoint of opposite sides. One line bisecting the base of the triangle, and another bisecting this line. Eighteen pieces per player, each side arranged on one side of the board, with the central point empty and the player's pieces on the points to the right of it. Players alternate turns moving one of their pieces to an empty point. A piece may jump an opponent's piece to capture it. Multiple captures are allowed. The player who captures all of the opponent's pieces wins.",Humphries 1906:121-122.,South Asia,,,,"25°12'35.98""N, 80°55'11.08""E","5404,5405",0,,0,0
723,616,Sujjua,,Rules for Sujjua.,1,These rules for were played in the early twentieth century in the Karwi subdivision of India.,Three concentric squares with lines connecting their midpoints. Nine pieces per player. Players alternate turns placing pieces on the board or moving one piece on the board to an adjacent empty spot. The first player to get three of their pieces in a row wins.,Humphries 1906: 124-125.,South Asia,,,,"25°12'35.98""N, 80°55'11.08""E","5404,5405",0,,0,0
724,617,Doblet,,Rules for Doblet.,1,These rules come fro the Libro de los Juegos of Alfonso X.,"2x12 board, divided in half. Spaces on each side take the form of semi-circular sockets, into which the pieces fit. Twelve pieces per player. Pieces begin on one half of a player's side of the board (the half to the left of one player, and to the right of the other player), two per space, stacked on top of one another. Three dice. To begin, a player must first unstack their pieces, by rolling the number of the space on which the stack is located, and thus removing the stack, but keeping the piece on the same space. Once complete, pieces move in a track the long way around the board toward the portion where the opponent begins. Players move according to the number on each die by moving one piece the value on one die then another piece the value on the other die, or by moving one piece the value of one die and then the value of the other. No more than two pieces can occupy a space at a time. When a piece lands on a space occupied by a single piece of the opponent, the opponent's piece is removed from the board. Players attempt to bear off their pieces by rolling the exact number of spaces left on the board, plus one. When unstacking the pieces in the beginning or when bearing off at the end, if the player cannot play their roll but the opponent is able, the opponent may use the roll. The first player to bear off all of their pieces wins.
",Libro de los Juegos 74.,Spain.,,,,"39°0'36.7""N, 4°18'36.63""W","4783,4783",0,,0,0
725,618,Los Doze Canes,,RUles for Los Doze Canes.,1,These rules are described in the Libro de los Juegos of Alfonso X.,"2x12 board, divided in half. Spaces on each side take the form of semi-circular sockets, into which the pieces fit. Twelve pieces per player. Two dice. Players move according to the number on each die by moving one piece the value on one die then another piece the value on the other die, or by moving one piece the value of one die and then the value of the other. Each player enters their pieces into their home section of the board (to the left of one player, to the right of the other player, and move pieces along a horseshoe-shaped track around the board toward the other player's home space. At the beginning of play, the first player will choose one quadrant of the board, and the goal of the game will be for one player to move two  pieces onto each of the six places in that quadrant. When a piece lands on a space occupied by a single piece of the opponent, the opponent's piece is removed from the board, and must be reentered.",Libro de los Juegos 73-74.,Spain,,,,"38°10'36.01""N, 5°15'12.87""W","4783,4783",0,,0,0
726,619,Quinze Tablas,,Rules for Quinze Tablas,1,These rules were documented in the Libro de los Juegos of Alfonso X.,"2x12 board, divided in half. Spaces on each side take the form of semi-circular sockets, into which the pieces fit. Fifteen pieces per player. Pieces begin on one half of a player's side of the board (the half to the left of one player, and to the right of the other player), two per space, then two on the next space and one on the space following that one. Three six-sided dice. Players move according to the number on each die by moving one piece the value on one die then another piece the value on the other die, or by moving one piece the value of one die and then the value of the other. Pieces move in a track the long way around the board toward the portion where the opponent begins. No more than two pieces can occupy a space at a time. When a piece lands on a space occupied by a single piece of the opponent, the opponent's piece is removed from the board. The opponent must then reenter this piece on the board onto an open point according to the throw of the dice, from the original starting quadrant on the board. Players attempt to bear off their pieces by rolling the exact number of spaces left on the board, plus one. The first player to bear off all their pieces wins.",Libro de los Juegos 73-74.,Spain,,,,"42°33'36.29""N, 6°44'43.72""W","4783,4783",0,,0,0
727,620,Fallas,,Rules for Fallas.,1,These rules are described in the Libro de los Juegos of Alfonso X. ,"2x12 board, divided in half. Spaces on each side take the form of semi-circular sockets, into which the pieces fit. Fifteen pieces per player. Play begins with thirteen pieces on the seventh point of the track, and two pieces on the twelfth point. Three six-sided dice. Players move pieces according to the value of each individual die. Play moves around the board through starting from the quadrant where the pieces begin, through the one where the opponent's pieces begin, and then through the remaining quadrant on the opponent's side of the board, where the pieces are borne off the board. When a piece lands on a spot occupied by a single piece of the opponent, the opponent's piece is sent back to its starting quadrant. If a player's piece is sent back to start, but all of the spaces in their starting quadrant are occupied by the opponent's pieces, the player loses automatically. Also, any roll that allows the player to only move to spaces occupied by the opponent results in an automatic loss for the player. Otherwise, the first player to bear off all their pieces wins.",Libro de los Juegos 74-75.,Spain,,,,"40°27'47.17""N, 6°39'48.62""W","4783,4899",0,,0,0
728,621,Seys Dos y As,,Rules for Seys Dos y As.,1,These rules are documented in the Libro de los Juegos of Alfonso X. ,"2x12 board, divided in half. Spaces on each side take the form of semi-circular sockets, into which the pieces fit. Fifteen pieces per player. Three six-sided dice. Players move according to the number on each die by moving one piece the value on one die then another piece the value on the other die, or by moving one piece the value of one die and then the value of the other. Both players begin in the same quadrant of the board. One player's pieces are arranged as follows: Eight on the first point of the quadrant to their left, four on the fifth, and three on the sixth. The other player places five on the second, third, and fourth space of the same quadrant. The track proceeds in a clockwise direction around the board. When a player's piece lands on a space occupied by a single piece of the opponent, it is sent back to the beginning of the quadrant to the right of the starting quadrant. Pieces bear off from the quadrant diagonal from the starting quadrant. The first player to bear off all their pieces wins.",Libro de los Juegos 75.,Spain,,,,"38°56'42.65""N, 1°20'31.91""W","4783,4783",0,,0,0
729,622,Emperador,,Rules for Emperador.,1,These rules are described in Alfonso X's Libro de los Juegos.,"2x12 board, divided in half. Spaces on each side take the form of semi-circular sockets, into which the pieces fit. Fifteen pieces per player. Three six-sided dice. Players move according to the number on each die by moving one piece the value on one die then another piece the value on the other die, or by moving one piece the value of one die and then the value of the other. One player begins with all of their pieces on the space furthest to the left on their side, the other with their pieces on the point directly opposite it. Pieces move in opposite directions around the board, toward the point where the opponent's pieces begin, and bearing off the board from there. A player cannot have two of their pieces on the same spot in the starting quadrant. When a piece lands on the same space as a single opponent's piece, the opponent's piece is sent back to where it began. The first person to bear off all their pieces wins. If players move their pieces such that they fill up all the points in a quadrant, and the other fills up all of the points in an adjacent quadrant such that neither player can move, the game is a draw. It is a prime win when one player has twelve pieces arranged on consecutive points so that the other player cannot pass them. When the player sends four pieces back to the beginning while preserving this state, it is a prime win.",Libro de los Juegos 75-76.,Spain.,,,,"40°27'18.8""N, 3°55'16.02""W","4783,4783",0,,0,0
730,623,Medio Emperador,,Rules of Medio Emperador.,1,These rules are documented in the Libro de los Juegos of Alfonso X.,"2x12 board, divided in half. Spaces on each side take the form of semi-circular sockets, into which the pieces fit. Fifteen pieces per player. Two or three six-sided dice. Players move according to the number on each die by moving one piece the value on one die then another piece the value on the other die, or by moving one piece the value of one die and then the value of the other. One player begins with all of their pieces on the space furthest to the left on their side, the other with their pieces on the point directly opposite it. Pieces move in opposite directions around the board, only on the half of the board where the pieces begin, toward the point where the opponent's pieces begin, and bearing off the board from there. When a piece lands on the same space as an opponent's piece, the opponent's piece is sent back to where it began. The first person to bear off all their pieces wins. If players move their pieces such that they fill up all the points in a quadrant, and the other fills up all of the points in an adjacent quadrant such that neither player can move, the game is a draw.
",Libro de los Juegos 75-76.,Spain,,,,"42°33'45.51""N, 7°33'43.64""W","4783,4783",0,,0,0
731,624,Pareia de Entrada,,Rules for Pareia de Entrada.,1,These rules are described in Alfonso X's Libro de los Juegos.,"2x12 board, divided in half. Spaces on each side take the form of semi-circular sockets, into which the pieces fit. Fifteen pieces per player. Two or three dice. Players move according to the number on each die by moving one piece the value on one die then another piece the value on the other die, or by moving one piece the value of one die and then the value of the other. Both players enter their pieces into the same quadrant of the board, and move pieces along a horseshoe-shaped track around the board toward the quadrant on the opposite side of the board.  When a piece lands on a space occupied by a single piece of the opponent, the opponent's piece is removed from the board and must enter again as before. When all of the dice present the same number, the player receives another turn. The player to bear off all of their pieces first wins.
",Libro de los Juegos 76-77.,Spain,,,,"42°1'14.48""N, 2°24'55.93""W","4783,4783",0,,0,0
732,625,Cab e Quinal,,Rules for Cab e Quinal,1,These rules are described in Alfonso X's Libro de los Juegos.,"2x12 board, divided in half. Spaces on each side take the form of semi-circular sockets, into which the pieces fit. Fifteen pieces per player. One player places all of their pieces on the sixth point of one of the quadrants of the board, and the other player places all of their pieces on the fifth point of the same quadrant. Three six-sided dice. Players move according to the number on each die by moving one piece the value on one die then another piece the value on the other die, or by moving one piece the value of one die and then the value of the other. Players move the pieces along the same track around the board, which ends on the quadrant on the other side of the board from the starting quadrant. When a piece is moved to a space occupied by a piece belonging to the opponent, the opponent's piece is sent back to the starting point. The first player to bear off all of their pieces from the board wins.",Libro de los Juegos 77.,Spain,,,,"42°8'59.18""N, 2°42'58.06""W","4783,4783",0,,0,0
733,625,Fixed Die,,The value of one die is fixed for every throw.,1,"In this version of Cab e Quinal, as described in Alfonso X's Libro de los Juegos, two dice are thrown and the value of the hypothetical third die is fixed, as decided by the players at the start. The starting position is also slightly different.","Two dice are throw on each turn. Players choose a value from one to six, which will be considered the value of a third die. One player places fourteen pieces on the sixth point of one quadrant, and one on the point directly opposite it on the other side of the board. The other player places fourteen pieces on the fifth point of the same quadrant as the fourteen of the other player, as well as one on the fourth point in that same quadrant.",Libro de los Juegos 77.,Spain,,,,"41°53'21.19""N, 1°59'40.87""W","4783,4783",0,,0,0
818,698,Kotra,,Rules for Kotra,1,These rules were played in Iceland in the nineteenth century.,"2x12 board, with the spaces rendered as points, divided into half. Fifteen pieces per player, which begin on the rightmost point, with respect to the player, on the opposite side of the board from which they sit. Two six-sided dice. Players move according to the number on each die by moving one piece the value on one die then another piece the value on the other die, or by moving one piece the value of one die and then the value of the other. A throw of doubles forces the player to play the throw twice. More than two pieces of the same player may not occupy a point on the starting side of the board. The player cannot move past the penultimate point on the opposite side of the board until five pieces have been moved from the starting point. A single opponent's piece may be removed from the board when a player's piece lands on it, and the opponent's piece must reenter the board. Pieces cannot move to a point occupied by two opponent's piece. A piece cannot reenter then board on a point occupied by another piece, whether belonging to the player or the opponent. When all of a player's pieces have reached the final quadrant of the board, the player may begin to remove them from the table. The player who bears off their pieces scores two points. ",Fiske 1905: 348-352.,Iceland,,,,"65°47'47.08""N, 24°1'54.39""W","5362,5388",0,,0,0
819,699,Ketch-Dolt,,Rules for Ketch-Dolt.,1,These rules are given in Cotton's Compleat Gamester.,"2x12 board, divided in half, where the spaces are rendered as points. Fifteen pieces per player. Two six-sided dice. Players move according to the number on each die by moving one piece the value on one die then another piece the value on the other die, or by moving one piece the value of one die and then the value of the other. The players enter their pieces on the board on the points corresponding to the throws of the dice. A player who rolls a number corresponding to a point on the opponent's side of the board that contains a piece should remove the piece from the opponent's point, which must be reentered. If the player fails to do so, they lose instantly. Otherwise, players continue to place their pieces until all are on the board, and they then bear the pieces off from the same quadrant of the board. The first player to bear off all their pieces wins.",Cotton 1674: 163.,England,,,,"52°9'34.25""N, 0°12'31.02""E","5174,5174",0,,0,0
820,700,Dubblets,,Rules for Dubblets.,1,These rules are described in Cotton's Compleat Gamester.,"2x12 board, divided in half, where the spaces are rendered as points. Fifteen pieces per player. Two six-sided dice. Play occurs only in two quadrants of the board, opposite one another, a player's pieces only leaving their quadrant to bear off. Two pieces are stacked each on the first three points, and three are stacked in the second three points. Players use throws to unstack pieces on their points, unstacking one piece per die which corresponds to that point. Doubles allow the player to unstack or bear off a number of pieces equal to the total number of the throw.  When all of the pieces are unstacked, that player may begin bearing their pieces off. Players move according to the number on each die by moving one piece the value on one die then another piece the value on the other die, or by moving one piece the value of one die and then the value of the other. The first player to bear off all their pieces wins. ",Cotton 1674: 161-162.,England,,,,"52°2'13.12""N, 1°34'33.01""W","5174,5174",0,,0,0
920,789,Omangunta Peeta,,Rules for Omangunta Peeta.,1,"These rules were played in the Madras Presidency, India in the early twentieth century.","2x7 board. Six counters in each hole, except the central hole in each row, which contains one counter. Sowing occurs in an anti-clockwise direction. When the last counter is sown, the player picks up the counters in the next hole in the direction of the sowing and continues sowing with those counters. When the hole after the hole in which the final counter is sown is empty, the counters in the next hole are captured, as well as the counters in the hole opposite this hole, and the turn ends. Sowing cannot begin from the central hole of either row. When a capture would occur from one of these central holes, the counters are not captured until the end of the round. At the end of the round, if both players are eligible to capture from the hole, they split the counters, leaving one in the hole if it is an odd number, or two if it is an even number. If only one player captured from the holes, they leave one counter in each hole. If neither player made a capture from the hole, the counters remain in the hole. 

When the players can no longer play, a new round begins. Each player then fills up as many holes, not counting the central holes, on their side of the board with six counters if possible. Any holes that do not contain counters are out of play. Play continues until one player captures all the counters, and is the winner.",Das Gupta 1923: 73-74.,India,,,,"12°52'18.98""N, 75°28'30.85""E","5423,5423",0,,0,0
921,790,Sat Gol,,Rules for Sat Gol.,1,These rules were played in the early twentieth century in central India.,"Seven holes, arranged in a circle. Four counters in each hole. Sowing occurs in an anti-clockwise direction. When the final counter lands in a hole, the contents of the next hole are picked up and sowing continues with those counters. When the hole from which this new sowing would occur is empty, the counters in the next hole are captured and the turn ends. The next player begins to sow from the next available hole with counters after the last one played by the opponent. Play continues until no further captures can be made, and the player with the most counters wins.",Das Gupta 1924: 167-168.,India,,,,"23°23'56.45""N, 80°3'40.59""E","5424,5424",0,,0,0
985,831,Len Cua Kin Ngoa,Len Cúa Kín Ngoa,Rules for Len Cúa Kín Ngoa.,3,These rules were played in early nineteenth century Thailand.,"4x4 board. One player plays as four tigers, which begin the board placed in the four corner spaces. The other player plays as twelve oxen. The first move is made by placing one of the oxen on an empty space, followed by a move by the tiger closest to the ox. Players continue alternating moves, the oxen player placing an ox and the tiger player moving a tiger. When moving, pieces move to an empty adjacent spot orthogonally. Once all of the oxen are placed, the players alternate turns moving their pieces on the board. Pieces may capture another piece by hopping over an adjacent opponent's piece to an empty space immediately on the opposite side of it. Tigers capture orthogonally, oxen capture diagonally. Oxen may also capture a tiger by blocking it from being able to move. The oxen win by reducing the tigers to two.",Low 1830: 379-380.,Thailand,,,,"9°0'49.57""N, 99°30'24.71""E","5336,5336",0,,0,0
1046,887,Patok,,Rules for Platok.,3,Played in the nineteenth century.,"19x19 intersecting lines. The central, as well as every third spot, in a square with the corners at the fourth point from the corners of the board, are marked. Players alternate turns placing a piece on the board on one of the marked spaces. When all of the marked spaces have been occupied, players may place a piece on any empty spot on the board. If a player surrounds one or more of the opponent's pieces orthogonally, they capture the opponent's pieces. The edge of the board can be included in such an enclosure. A group of pieces which contain two empty or more enclosures cannot be captured by the opponent. Pieces cannot be placed in an enclosure. When no further pieces can be placed, the players count the number of their pieces on the board and the number of empty spaces they enclose, and the player with the higher score wins.",Culin 1895: 91-97.,Korea,,,,"35°40'4.48""N, 127°51'50.94""E","5395,5395",0,,0,0
1047,888,Dames Rabbatuees,Dames Rabbatuées,Rules for Tables Rabbatuées.,1,Played in eighteenth century France.,"2x12 board, divided in half, where the spaces are rendered as points. Fifteen pieces per player. Two six-sided dice. Play occurs only in two quadrants of the board, opposite one another, a player's pieces only leaving their quadrant to bear off. Two pieces are stacked each on the first three points, and three are stacked in the second three points. Players use throws to unstack pieces on their points, unstacking one piece per die which corresponds to that point. Doubles allow the player to unstack or bear off a number of pieces equal to the total number of the throw. When all of the pieces are unstacked, that player may begin bearing their pieces off. Players move according to the number on each die by moving one piece the value on one die then another piece the value on the other die, or by moving one piece the value of one die and then the value of the other. Once a player has borne off all of their pieces, they must re-enter them onto the points and replicate the starting position. The first player to bear off all their pieces and then place them in the starting position again wins.
",Encyclopédie Methodique 1792: 64-65.,France,,,,"47°6'19.75""N, 4°18'22.74""E","5292,5292",0,,0,0
1048,889,Historical Information,,Rules from DLP evidence.,5,Rules for Gwydbwyll as known from DLP evidence.,Two players. Each player has multiple pieces. Played on a board.,DLP evidence.,Wales,,,,"51°37'40.84""N, 2°56'4.1""W","4550,4725",0,,0,1
1049,890,Default,,,1,,"Crossway is played with a Go set. The board starts out empty. Each player takes possession of all of the stones of one color. Players take turns adding their stones to the board, one stone per turn. A player must never create a crosscut formation. Black makes the first placement of the game. If you have no more available placements, you forfeit your turn and your opponent can continue making placements until completing his goal connection. For White to win, White must form a contiguous sequence of white stones connecting the West edge to the East edge of the board. Each stone in the sequence must be connected to neighboring stones in the sequence by horizontal, vertical, or diagonal adjacencies. Likewise for Black and the North and South edges. A corner is considered to be part of both adjoining edges. Crossway makes use of the pie rule. This means Black makes the first placement, and White has the option of switching colors with Black, and claiming Black's first move as his own. If White chooses to exercise the pie rule, Black then becomes White and now makes the second placement of the game. The pie rule can only be used once and on the second move of the game.",,,,,,,"0,5520",0,,0,0
1050,891,Main Dam,,Rules for Main Dam.,3,Played in Malaysia in the early twentieth century.,"8x8 board. Twelve pieces per player. Pieces move diagonally one space forward, and can capture opponent's pieces by jumping them in a forward direction if they are adjacent. Capturing must happen if it is possible. Multiple captures are allowed. Once pieces reach the opposite side of the board from their starting position, they become kings and can move diagonally either forwards or backwards, and can capture by jumping over any number of pieces, any distance. The goal is to capture all of the opponent's pieces.",Wilkinson 1915:59.,Malaysia,,,,"3°52'33.37""N, 101°1'34.77""E","5415,5415",0,,0,0
1051,892,Historical Information,,Rules from DLP evidence.,5,Played in Sri Lanka in the early twentieth century.,"Eleven squares are in the bottom line. From the central square, a line of an additional ten extend up. From the central hole of this vertical line (counting the central hole of the bottom line), a square with eleven holes per side. Extending to the left and right of this, five more squares on each side. Five squares extend upwards diagonally from the end of each of these lines, joining at an apex. Intersecting with the fifth square in the initial vertical line, a square with eleven spaces per side. Every fifth square is marked with an X. Players enter from opposite ends of the bottom horizontal track. ",DLP Evidence.,Sri Lanka,,,,"6°12'2.13""N, 81°8'46.12""E","5442,5442",0,,0,1
1052,893,Historical Information,,From DLP evidence.,5,Rules known from DLP evidence.,"A horizontal line of eleven squares. From the central square, a further vertical extension of five squares, five more to the right of the fifth square in the vertical line, another vertical line of five from the rightmost square, five more extending left from the topmost square, and a final five extending up from the leftmost square.",DLP evidence.,India,,,,"12°37'16.02""N, 80°11'37.98""E","4100,5520",0,,0,1
1053,894,Historical Information,,From DLP evidence.,5,Rules for Pancha (Mahabalipuram with Loop) from DPL evidence.,"Bottom row with eleven squares. Ten squares extending vertically from the central square. A square track with five spaces per side extends up and to the left from the top square. The outer squares of the bottom track are marked, as are every fifth space from them along the board.",DLP evidence.,India,,,,"12°37'16.02""N, 80°11'37.98""E","4100,5520",0,,0,1
1054,895,Historical Evidence,,Rules from DLP evidence.,5,These are the rules for the Pancha game with a double loop as known from the DLP evidence.,"Bottom row with eleven squares. Ten squares extending vertically from the central square. A square track with five spaces per side extends up and to the right from the top square. Immediately above this, another square, with its left side aligned with the left side of the other square, but with smaller squares (thus, the squares do not line up where they are adjacent. The outer squares of the bottom track are marked, as are every fifth space from them along the board, except in the smaller square which is marked in all but the bottom left corner with a single diagonal..
",DLP evidence.,India,,,,"12°37'16.02""N, 80°11'37.98""E","4100,5520",0,,0,1
1055,896,Historical Information,,From DLP evidence.,5,Played in Mongolia.,"Four 3x8 rectangles, arranged in a cross. Four players. Eight fields are marked with a cross, which gives the player an extra throw. Some fields are marked with diagonal lines, and when a piece lands on them the piece is sent back to start. Pieces must be entered onto the board. The player who brings their pieces around the board to the point where it entered the board wins.",DLP evidence.,Mongolia,,,,"43°40'38.04""N, 102°59'7.8""E","5488,5491",0,,0,1
1056,897,Mankala,,Rules for Mankala.,3,Played in eighteenth century Egypt.,"2x6 board. Six counters in each hole. Players take the contents of one of their holes and sow in an anti-clockwise direction. When the final counter of a sowing lands in a hole, making it contain two, four, or six counters,  these counters are taken. If the second to last hole also contains two, four, or six counters, these are also taken, continuing in an unbroken line until a hole with containing a number of counters other than two, four, or six. The game continues until all of the counters have been captured. The player who captured the most counters wins.",Niebuhr 1774: 173.,Egypt,,,,"30°2'29.49""N, 31°13'56.00""E","5262,5262",0,,0,0
1057,898,Dris at-Talata,,Rules for Dris at-Talata.,3,Rules played in Cairo in the eighteenth century.,"3x3 grid. Three pieces per player. Players alternate turns placing a piece on the board. When all of the pieces are placed, players alternate turns moving a piece to any empty space on the board. The player who places three pieces in an orthogonal  row wins. ",Niebuhr 1774: 171-172.,Egypt,,,,"30°2'29.49""N, 31°13'56.00""E","5262,5262",0,,0,0
1058,899,Historical Information,,Rules from DLP evidence.,5,Rules for Dris et-Tessa known from DLP evidence.,"Three concentric squares, with lines connecting the midpoints of the sides.",DLP evidence.,Egypt,,,,"30°2'29.49""N, 31°13'56.00""E","5262,5262",0,,0,1
1059,900,Historical Information,,"From DLP evidence,",5,Rules for Dris et-Tessa with diagonals as known from the DLP evidence.,"Three concentric squares, with lines connecting their corners and the midpoints of each side.",DLP evidence.,Egypt,,,,"30°2'29.49""N, 31°13'56.00""E","5262,5262",0,,0,1
1107,948,Default,,,1,,"Oust is a game for two players, played on a hexagonally patterned board which is initially empty. The two players, Black and White, take turns placing stones of their color onto unoccupied cells on the board. A group is a set of interconnected, like-colored stones. A group can be a singleton, a single stone which is not connected to any other stones of its color. A group includes all the stones of its own color connected to it. There are two types of moves - non-capturing placements and capturing placements. Non-capturing placements either forms no connections (adjacencies) with any stones, or forms one or more connections with only enemy stones. A non-capturing placement does not form any connection with stones of its own color. Making a non-capturing placement concludes your turn. When you place a stone which forms one or more connections with your own groups, you will create a new, larger group of your own stones. You can only make such a placement if said new group will have one or more connections with enemy groups upon its creation and if all said enemy groups are smaller than said new group. Upon making such a placement, all said enemy groups are removed from the board. After capturing one or more enemy groups and while it is still your turn, you must continue to add stones until you make a non-capturing placement, at which time your turn is concluded. If you have a placement available on your turn you must make one. If you don't have any placements available, you must pass your turn. There will always be a placement available for at least one player. You win by making a placement which captures all of the enemy stones on the board.",,,,,,,"0,5520",0,,0,0
1108,949,Historical Information,,Rules from DLP evidence.,5,Rules for Paitariya from the DLP evidence.,"Three concentric squares, with lines connecting the midpoints of the sides, extending beyond the outer square.",DLP evidence.,New Mexico,,,,"35°36'32.11""N, 106°21'1.09""W","5407,5407",0,,0,1
1109,950,Manu,,Rules for Manu,3,Played in Hawaii in the nineteenth century.,"Played on cross-shaped board, made of five squares, each divided into four squares and with the diagonals of the larger squares drawn. One player plays with thirteen pieces situated on every point of one arm of the cross and along the line immediately perpendicular to that arm. The other plays as the Punipeki, which is placed on any empty spot on the first turn. Pieces move along the lines to an adjacent empty spot. The Punipeki may jump over an adjacent piece to capture it. The Punipeki wins if it can capture all the opponent's pieces, the other player wins by blocking the Punipeki from moving.",Culin 1899: 244-245.,Hawaii,,,,"20°46'22.51""N, 156°24'37.38""W","5399,5399",0,,0,0
1110,951,Historical Information,,Rules from DLP evidence.,5,Rules for Double Fox and Geese from the DLP evidence.,"Played on a Fox and Geese board with twice as many holes as the standard game. One player plays as two foxes, the other as thirty geese. ",DLP evidence.,England,,,,"51°34'55.65""N, 1°31'19.48""W","5181,5181",0,,0,1
1111,952,Historical Information,,Rules from DLP evidence.,5,Rules for Treble Fox and Geese as known from the DLP evidence.,"Played on a Fox and Geese board with twice as many holes as the standard game, and with diagonals in each square. One player plays as three or four foxes, the other as fifty or sixty geese.
",DLP evidence.,England,,,,"52°55'15.81""N, 0°48'33.69""E","5181,5181",0,,0,1
1112,953,Baralie,,Rules for Baralie.,1,Played in thirteenth century England.,"2x12 board, divided in half, where the spaces are rendered as points. Fifteen pieces per player. Two six-sided dice. Both players begin on the same side of the board, one player with fifteen pieces on the rightmost point, the other player with fourteen pieces on the point behind it, and one on the point behind that. Players move according to the number on each die by moving one piece the value on one die then another piece the value on the other die, or by moving one piece the value of one die and then the value of the other. On each throw the player also plays a throw of 6 in addition to the throw presented by the dice. Pieces move in an anti-clockwise direction around the board. A piece cannot move to a point that is occupied by more than one of the opponent's pieces. If a piece lands on a point occupied by a single piece belonging  to the opponent, the opponent's piece is removed from the board and must enter again from the leftmost point in the row where the pieces began. A piece may be borne off the board when a throw is greater than the number of points left on the board. The first player to bear all of their pieces off the board wins.",Murray 1951: 123.,England,,,,"50°31'21.21""N, 4°6'54.85""W","4800,4850",0,,0,0
1218,1060,Historical Information,,Rules known from DLP evidence.,5,Rules for Caixuan Baiguan Duo as known from the DLP evidence.,"Four dice. Desirable throws were not necessarily the highest scoring ones. Players use dice to move through a board with positions. The spaces with the positions describe the possible moves for each dice throw. Certain throws allow for the movement of both up and down the hierarchy. Moves are granted based on virtues, talents, and merits. Double fours grants one virtue, double sixes one talent, double fives, threes, or twos one merit. Triple fours grant two virtues, triple sixes grant two talents, triple fives, threes, or twos grant two merits. Double fours and double sixes all a player to move one talent, and then in the new position move according to one talent.
",DLP evidence.,China,,,,"31°27'32.17""N, 111°43'50.88""E","5094,5144",0,,0,1
1219,1061,Historical Information,,Rules from DLP evidence.,5,Rules for Hulu Wen as known from the DLP evidence.,Square spiral with 61 spaces. Two or more players. Two dice. ,DLP evidence.,China,,,,"31°17'54.27""N, 120°35'9.37""E","5144,5411",0,,0,1
1220,1062,Historical Information,,Rules for Wo Shuo.,5,Rules known for Wo Shuo from the DLP evidence.,Two six-sided dice. Single pieces on the board are vulnerable.,DLP evidence.,China,,,,"36°21'56.36""N, 104°52'56.97""E","4005,4342",0,,0,1
1221,1063,Historical Information,,Rules from DLP evidence.,5,Rules for Chang Xing as known from the DLP evidence.,"Fifteen pieces per player, one playing as black and one as yellow. Two dice. Pieces which are alone on a space are vulnerable. ",DLP evidence.,China,,,,"32°30'38.42""N, 111°52'15.23""E","4300,4379",0,,0,1
1222,1064,Tap Urdy,,Rules for Tap Urdy.,3,Rules played in Turkmenistan in the early twentieth century.,"2x6 board. Four counters in each hole. Players sow counters in a clockwise directions from one of the holes in their opponent's row. When the final counter lands in an occupied hole, the contents of that hole are picked up and sowing continues, unless the next hole is empty, in which case the contents of the next hole after the empty hole are captured. When the final counter falls in an empty hole, the turn ends. Play continues until all of the holes are empty in one of the rows. The player who captured the most counters wins.",Deledicq and Popova 1977: 90.,Turkmenistan,,,,"39°52'59.62""N, 59°51'39.34""E","5431,5431",0,,0,0
